lovette_name,botw_name
Seiurus aurocapilla,Seiurus aurocapilla
Helmitheros vermivorus,Helmitheros vermivorum
Parkesia motacilla,Parkesia motacilla
Parkesia noveboracensis,Parkesia noveboracensis
Vermivora bachmanii,Vermivora bachmanii
Vermivora chrysoptera,Vermivora chrysoptera
Vermivora pinus,Vermivora cyanoptera
Mniotilta varia,Mniotilta varia
Protonotaria citrea,Protonotaria citrea
Limnothlypis swainsonii,Limnothlypis swainsonii
Oreothlypis gutturalis,Oreothlypis gutturalis
Oreothlypis superciliosa,Oreothlypis superciliosa
Oreothlypis peregrina,Leiothlypis peregrina
Oreothlypis celata,Leiothlypis celata
Oreothlypis crissalis,Leiothlypis crissalis
Oreothlypis luciae,Leiothlypis luciae
Oreothlypis virginiae,Leiothlypis virginiae
Oreothlypis ruficapilla,Leiothlypis ruficapilla
Geothlypis agilis,Oporornis agilis
Geothlypis semperi,Leucopeza semperi
Geothlypis aequinoctialis,Geothlypis aequinoctialis
Geothlypis poliocephala,Geothlypis poliocephala
Geothlypis tolmiei,Geothlypis tolmiei
Geothlypis philadelphia,Geothlypis philadelphia
Geothlypis formosus,Geothlypis formosa
Geothlypis semiflava,Geothlypis semiflava
Geothlypis speciosa,Geothlypis speciosa
Geothlypis beldingi,Geothlypis beldingi
Geothlypis rostrata,Geothlypis rostrata
Geothlypis flavovelata,Geothlypis flavovelata
Geothlypis trichas,Geothlypis trichas
Geothlypis nelsoni,Geothlypis nelsoni
Setophaga bishopi,Catharopeza bishopi
Setophaga plumbea,Setophaga plumbea
Setophaga angelae,Setophaga angelae
Setophaga pharetra,Setophaga pharetra
Setophaga citrina,Setophaga citrina
Setophaga ruticilla,Setophaga ruticilla
Setophaga kirtlandii,Setophaga kirtlandii
Setophaga tigrina,Setophaga tigrina
Setophaga cerulea,Setophaga cerulea
Setophaga americana,Setophaga americana
Setophaga pitiayumi,Setophaga pitiayumi
Setophaga magnolia,Setophaga magnolia
Setophaga castanea,Setophaga castanea
Setophaga fusca,Setophaga fusca
Setophaga petechia,Setophaga petechia
Setophaga pensylvanica,Setophaga pensylvanica
Setophaga striata,Setophaga striata
Setophaga caerulescens,Setophaga caerulescens
Setophaga palmarum,Setophaga palmarum
Setophaga pityophila,Setophaga pityophila
Setophaga pinus,Setophaga pinus
Setophaga coronata,Setophaga coronata
Setophaga dominica,Setophaga dominica
Setophaga discolor,Setophaga discolor
Setophaga vitellina,Setophaga vitellina
Setophaga adelaidae,Setophaga adelaidae
Setophaga subita,Setophaga subita
Setophaga delicata,Setophaga delicata
Setophaga graciae,Setophaga graciae
Setophaga nigrescens,Setophaga nigrescens
Setophaga occidentalis,Setophaga occidentalis
Setophaga townsendi,Setophaga townsendi
Setophaga virens,Setophaga virens
Setophaga chrysoparia,Setophaga chrysoparia
Myiothlypis luteoviridis,Myiothlypis luteoviridis
Myiothlypis leucophrys,Myiothlypis leucophrys
Myiothlypis flaveolus,Myiothlypis flaveola
Myiothlypis leucoblepharus,Myiothlypis leucoblephara
Myiothlypis signatus,Myiothlypis signata
Myiothlypis nigrocristatus,Myiothlypis nigrocristata
Myiothlypis fulvicauda,Myiothlypis fulvicauda
Myiothlypis rivularis,Myiothlypis rivularis
Myiothlypis bivittatus,Myiothlypis bivittata
Myiothlypis roraimae,Myiothlypis roraimae
Myiothlypis chrysogaster,Myiothlypis chrysogaster
Myiothlypis conspicillatus,Myiothlypis conspicillata
Myiothlypis cinereicollis,Myiothlypis cinereicollis
Myiothlypis fraseri,Myiothlypis fraseri
Myiothlypis coronatus 1,Myiothlypis coronata
Myiothlypis coronatus 2,Myiothlypis coronata
Basileuterus lachrymosa,Basileuterus lachrymosus
Basileuterus rufifrons,Basileuterus rufifrons
Basileuterus melanogenys,Basileuterus melanogenys
Basileuterus belli,Basileuterus belli
Basileuterus culicivorus,Basileuterus culicivorus
Basileuterus hypoleucus,Basileuterus hypoleucus
Basileuterus trifasciatus,Basileuterus trifasciatus
Basileuterus tristriatus,Basileuterus tristriatus
Cardellina canadensis,Cardellina canadensis
Cardellina pusilla,Cardellina pusilla
Cardellina rubrifrons,Cardellina rubrifrons
Cardellina ruber,Cardellina rubra
Cardellina versicolor,Cardellina versicolor
Myioborus pictus,Myioborus pictus
Myioborus miniatus,Myioborus miniatus
Myioborus brunniceps,Myioborus brunniceps
Myioborus flavivertex,Myioborus flavivertex
Myioborus albifrons,Myioborus albifrons
Myioborus ornatus,Myioborus ornatus
Myioborus melanocephalus,Myioborus melanocephalus
Myioborus torquatus,Myioborus torquatus
Myioborus pariae,Myioborus pariae
Myioborus albifacies,Myioborus albifacies
Myioborus cardonai,Myioborus cardonai
Myioborus castaneocapilla,Myioborus castaneocapilla